Brown Noser ,2,2 ,"","","",5 ,6 ,"","",(No Deathclaws / Dogs) ,+1 CH for reactions
Die Hard ,2,1 ,"","",6 ,"","","","",First Aid 40% ,10% DR when hp < 20%
Awareness ,3,1 ,"",5 ,"","","","","","",See HP’s and weapons of enemies
Bonus HtH Damage ,3,3 ,6 ,"","","","",6 ,"","",+2 Melee Damage per level 
Cautious Nature ,3,1 ,"",6 ,"","","","","","",+3 PE in random encounter placement 
Comprehension ,3,1 ,"","","","",6 ,"","",(No Dogs) ,+50% skill points from reading 
Drunken Master ,3,1 ,"","","","","","","",Unarmed 60% ,+20% Unarmed when under the influence 
Earlier Sequence ,3,3 ,"",6 ,"","","","","","",+2 Sequence per level 
Faster Healing ,3,3 ,"","",6 ,"","","","","",+2 Healing Rate per level 
Gunner ,3,1 ,"","","","","",6 ,"",Small Guns 40% ,No 10% penalty when firing from vehicle 
Healer ,3,2 ,"",7 ,"","",5 ,6 ,"",First Aid 40% ,Increase HP healed by 4-10 per rank 
Kama Sutra Master ,3,1 ,"","",5 ,"","",5 ,"","",Stamina and skill in bed 
Leadfoot ,3,1 ,"",6 ,"","","",6 ,"",Pilot 60% ,Increase vehicle max speed by 25% 
Night Vision ,3,1 ,"",6 ,"","","","","","",Negative mods for darkness reduced 50% 
Quick Pockets ,3,1 ,"","","","","",5 ,"","",2 AP to swap equipment 
Rad Child ,3,1 ,"","",6 ,"","","","",(Only Ghouls) ,+5 to Healing Rate in 10+ rad source 
Scout ,3,1 ,"",7 ,"","","","","","",Maps easier to read
Smooth Talker ,3,3 ,"","","","",4 ,"","",(No Dogs) ,+1 IN per level when dealing with NPCs
Stat! ,3,1 ,"","","","","",6 ,"","First Aid 75%, Doctor 50% ",5 AP for healing
Stonewall ,3,1 ,6 ,"","","","","","","",50% to avoid knockdown
Strong Back ,3,2 ,6 ,"",6 ,"","","","","",+50lbs Carry Weight per level
Survivalist ,3,3 ,"","",6 ,"","",6 ,"",Outdoorsman 40% ,+25% to Outdoorsman skill
Swift Learner ,3,3 ,"","","","",4 ,"","","",+5% to earned XP
Theif ,3,1 ,"","","","","","","",(No Deathclaws/Dogs) ,"+10% to Sneak, Lockpick, Steal, and Traps "
Toughness ,3,1 ,"","",6 ,"","","",6 ,"",+10% to all DR types
Bracing ,4,1 ,7 ,"","","","","","","Big Guns 80%, (No Deathclaws / Dogs) ",Bonus for tripod while holding
Death Sense ,4,1  ,"","","","",5 ,"","",(Only Deathclaws) ,"+2 PE, -50% light penalty, +25% detect  "
Flexible ,4,1 ,"","","","","",6 ,"",Sneak 60% ,1 AP to change stance
Hit the Deck! ,4,1 ,"","","","","",6 ,"","",+50% to Explosive DR
Leader ,4,1 ,"","","",6 ,"","","","",Close party gains +1 AG and +5 AC
Loner ,4,1 ,"","","",< 5 ,"","","",Outdoorsman 50% ,+10% to all skills when alone
Steady Aim ,4,1 ,6 ,"","","","","","",(Only Mutants) ,Burst attacks cost –1 AP
Tunnel Rat ,4,1 ,"","","","","",6 ,"",Sneak 60% ,1 AP move while crouch or prone
Adrenaline Rush ,6,1 ,1-9 ,"","","","","","","",+1 ST when HP < 50% max
Bonus Move ,6,2 ,"","","","","",5 ,"","",2 free hex moves in combat per level
Bonus Ranged Damage ,6,2 ,"","","","","",6 ,6 ,(No Deathclaws / Dogs) ,+2 ranged damage per level
Cancerous Growth ,6,1 ,< 7 ,"","","","","","",(Only Ghouls) ,"+2 to Healing Rate, Regen in 48 Hrs "
Educated ,6,3 ,"","","","",6 ,"","","",+2 Skill Points each level gain
Empathy ,6,1 ,"",7 ,"","",5 ,"","","",Know when others interpreted wrongly
Fortune Finder ,6,1 ,"","","","","","",8 ,"",More money in random encounters
Gambler ,6,1 ,"","","","","","","",Gambling 50% ,+20% to Gambling skill
Ghost ,6,1 ,"","","","","","","",Sneak 60% ,+20% to sneak in darkness
Harmless ,6,1 ,"","","","","","","","Steal 50%, Karma > 49, (No Deathclaws) ",+20% to steal
Heave Ho! ,6,3 ,"","","","","","","","",+2 ST for thrown weapons only
More Criticals ,6,3 ,"","","","","","",6 ,(No Mutants) ,+5% Critical Chance per level
Negotiator ,6,1 ,"","","","","","","","Barter 50%, Speech 50%, (No Deathclaws / Dogs) ",+10% to Speech and Barter
Pack Rat ,6,2 ,"","","","","","","","",+10lbs to Carry Weight
Pathfinder ,6,1 ,"","",6 ,"","","","",Outdoorsman 60% ,Reduce travel time by 25%
Pressence ,6,3 ,"","","",6 ,"","","","",+1 CH for reaction rolls per level
Quick Recovery ,6,1 ,"","","","","",5 ,"","",1 AP to stand up after being knocked down
Rad Resistance ,6,2 ,"","",6 ,"",4 ,"","","",+15% Radiation Resistance per level
Ranger ,6,1 ,"",6 ,"","","","","","",+15% to Outdoorsman
Salesman ,6,1 ,"","","","","","","","Barter 50%, (No Deathclaws / Dogs) ",+20% to Barter
Silent Running ,6,1 ,"","","","","",6 ,"",Sneak 50% ,Run and sneak simultaneously
Snakeater ,6,1 ,"","",3 ,"","","","","",+25% Poison Resistance
Stunt Devil ,6,2 ,6 ,"",6 ,"","",6 ,"",(No Dogs) ,"25% less damage from fall/crash, +10% Pilot  "
Way of the Fruit ,6,1 ,"","","",6 ,"","","",(No Deathclaws/Dogs) ,+1 PE and AG after eating fruit
Bone Head ,7,2 ,7 ,"","","","","","","",%50 (75%) to avoid being unconsciousness
Bluff Master ,8,1 ,"","","",3 ,"","","","","When caught stealing, talk your way out "
Brutish Hulk ,8,1 ,7 ,"",5 ,"","","","",(Only Deathclaws) ,Double normal HP when leveling
Psychotic ,8,1 ,"","",5 ,"","","","",(Only Mutants and Half Mutants) ,"Effects of Psycho are doubled, addiction 1/2 "
Animal Friend ,9,1 ,"","","","",5 ,"","",Outdoorsman 25% ,Animals will not attack
Better Criticals ,9,1 ,"",6 ,"","","",4 ,6 ,(No Mutants) ,"+150% damage, +50% damage to limbs "
Crazy Bomber ,9,1 ,"","","","",6 ,"","","Traps 60%, (No Deathclaws / Dogs) ",Know when explosive improperly set
Demolition Expert ,9,1 ,"","","","","",4 ,"","Traps 90%, (No Deathclaws / Dogs) ",50% more damage to explosives
Dodger ,9,2 ,"","","","","",6 ,"","",+5 AC per rank
